Relatório de palavras-chave da rede de pesquisa
23 de Novembro de 2021 - 23 de Novembro de 2021
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,Código da moeda,CPC máx.,URL final,URL final para dispositivos móveis,Impr.,Interações,Taxa de interação,Custo médio,Custo,Conversões,Custo / conv.,Taxa de conv.
Ativado,modelo de placa de carro,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,3,1,"33,33%","0,48","0,48","0,00","0,00","0,00%"
Ativado,mudanca de placa,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,6,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,emplacar veículo,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,37,2,"5,41%","0,43","0,85","0,00","0,00","0,00%"
Ativado,modelo de placa nova,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,2,1,"50,00%","0,31","0,31","0,00","0,00","0,00%"
Ativado,qual o preço da placa mercosul,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,20,1,"5,00%","0,39","0,39","0,00","0,00","0,00%"
Ativado,fabrica de placa mercosul,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,1,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,padrao mercosul placa,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,carro com placa mercosul,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,nova mercosul placas automotivas,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Não qualificado,raramente exibido,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa mercosul zona sul,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa mercosul muda o numero,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,comprar placa mercosul pela internet,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,Placa mercosul em santo amato,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Não qualificado,raramente exibido,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,comprar a placa mercosul,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,Novo padrão mercosul,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,38,3,"7,89%","0,53","1,58","0,00","0,00","0,00%"
